mesh_idx,mesh_name,nevals,target_dir,target_obj,init_kind,init_path,results_step_dir,recon_ply,used_iter,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
26,mesh_00026,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00026,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00026\mesh_00026.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00025\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00026,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00026\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005153578440225219,0.7011549566891242,0.839442436757873,0.001045698871944068,18,18,16
27,mesh_00027,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00027,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00027\mesh_00027.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00026\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00027,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00027\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005206965110470297,0.6958024691358025,0.8453333333333334,0.0010510061007033378,18,18,16
28,mesh_00028,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00028,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00028\mesh_00028.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00027\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00028,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00028\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.0050791093265958875,0.7032110091743119,0.8502246630054917,0.0010419479702110837,18,18,17
29,mesh_00029,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00029,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00029\mesh_00029.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00028\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00029,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00029\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.0052196507998819005,0.7136386512330146,0.8612779901693064,0.0010806197903450267,18,18,16
30,mesh_00030,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00030,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00030\mesh_00030.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00029\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00030,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00030\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005120019321981566,0.7305133079847909,0.8717816683831102,0.0010625276018250934,18,18,16
31,mesh_00031,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00031,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00031\mesh_00031.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00030\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00031,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00031\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005053910213689667,0.7437673130193906,0.8651299656694458,0.0010150516471890334,18,18,17
32,mesh_00032,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00032,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00032\mesh_00032.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00031\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00032,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00032\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.0051278585813129725,0.7630813953488372,0.8772656654583117,0.000985218089617189,18,18,16
33,mesh_00033,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00033,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00033\mesh_00033.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00032\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00033,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00033\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005157398155802957,0.7840681362725451,0.8850635593220338,0.000985580279164386,18,18,16
34,mesh_00034,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00034,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00034\mesh_00034.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00033\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00034,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00034\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005092763293320188,0.7925351429956374,0.8925114620478859,0.0009619001028327427,18,18,16
35,mesh_00035,75,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00035,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00035\mesh_00035.obj,ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00034\evals_75_iter299.ply,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00035,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\nevals_75\mesh_00035\evals_75_iter299.ply,299,300,10,100000,2.0,0.02,250000000,0.005065043621525019,0.8053140096618358,0.883241066935078,0.0010002287741098523,18,18,17
