mesh_idx,mesh_name,target_obj,results_step_dir,recon_ply,used_iter,nevals,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
30,mesh_00030,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00030\mesh_00030.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00030,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00030\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.0050672354828323486,0.7465042850699143,0.9019221291276491,0.0009088992337132245,18,18,17
31,mesh_00031,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00031\mesh_00031.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00031,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00031\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005091356197430738,0.7660656495607951,0.9146464646464646,0.0008820850109311529,18,17,17
32,mesh_00032,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00032\mesh_00032.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00032,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00032\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005171210111599682,0.7890357317670093,0.9229551451187336,0.0008611995717769676,17,17,16
33,mesh_00033,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00033\mesh_00033.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00033,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00033\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.00501544183274723,0.8063935164340387,0.9367760617760618,0.0008467549329277619,18,18,17
34,mesh_00034,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00034\mesh_00034.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00034,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00034\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005036543823561946,0.8402421984163949,0.9306301905227161,0.0007934696189905614,18,17,17
35,mesh_00035,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00035\mesh_00035.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00035,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00035\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005110657950312589,0.8523391812865497,0.9390992835209826,0.0008249667589922599,17,17,17
36,mesh_00036,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00036\mesh_00036.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00036,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00036\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005170114267137915,0.8621388748099341,0.9403693931398417,0.0007603482931862692,17,17,17
37,mesh_00037,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00037\mesh_00037.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00037,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00037\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005187776887513566,0.8798969072164948,0.9521247982786444,0.0007417541707421189,17,17,16
38,mesh_00038,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00038\mesh_00038.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00038,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00038\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005069932645911457,0.9011684518013632,0.9609414121181773,0.0006853656178168184,17,17,16
39,mesh_00039,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00039\mesh_00039.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00039,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00039\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005147829756986723,0.9012219959266803,0.9492412349555207,0.0007135982954579629,17,17,16
40,mesh_00040,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00040\mesh_00040.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00040,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00040\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005132937195121613,0.9129113924050632,0.9658031088082901,0.0006059807968479095,17,17,16
