mesh_idx,mesh_name,target_obj,results_step_dir,recon_ply,used_iter,nevals,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
26,mesh_00026,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00026\mesh_00026.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00026,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00026\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.0051831608626038105,0.7108664432742939,0.8537095088819227,0.00100643386557678,18,17,16
27,mesh_00027,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00027\mesh_00027.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00027,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00027\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005146765217482827,0.7164532954006638,0.8591047812817905,0.0009797228561561006,18,17,16
28,mesh_00028,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00028\mesh_00028.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00028,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00028\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.0051698428550858025,0.7178002894356006,0.867012987012987,0.0009895368786540669,18,17,16
29,mesh_00029,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00029\mesh_00029.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00029,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00029\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.0050517014868991395,0.7386004514672686,0.8681531749878817,0.0009880153541384489,18,18,17
30,mesh_00030,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00030\mesh_00030.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00030,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00030\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.00516288848919942,0.7527872031022782,0.8731808731808732,0.0010065911471022536,17,17,16
31,mesh_00031,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00031\mesh_00031.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00031,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00031\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005117254160997413,0.7750355956336022,0.9016725798276736,0.0009743043029111963,18,17,17
32,mesh_00032,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00032\mesh_00032.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00032,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00032\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005169050155108756,0.788102261553589,0.900208986415883,0.0009446243268941535,17,17,16
33,mesh_00033,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00033\mesh_00033.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00033,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00033\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005001247753125207,0.8063648588077096,0.9031648559282003,0.000959806536897961,18,18,17
34,mesh_00034,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00034\mesh_00034.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00034,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00034\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005037473708978237,0.8227146814404432,0.9155749636098981,0.0008564227756162601,18,17,17
35,mesh_00035,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00035\mesh_00035.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00035,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00035\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005083379522463784,0.8619854721549637,0.9316239316239316,0.0008351033738946675,17,17,17
36,mesh_00036,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00036\mesh_00036.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00036,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00036\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005110705833382056,0.8609599208312716,0.9332313965341489,0.0008781847354252591,17,17,17
37,mesh_00037,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00037\mesh_00037.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00037,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00037\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005112604294629967,0.8805748265609514,0.9344178952719878,0.0008006187694728651,17,17,16
38,mesh_00038,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00038\mesh_00038.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00038,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00038\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.00512119537171653,0.8802395209580839,0.9320288362512873,0.0008130554804800261,17,17,17
39,mesh_00039,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00039\mesh_00039.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00039,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00039\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005066778546070701,0.9066471163245357,0.9473947895791583,0.0008087356146163831,17,17,16
40,mesh_00040,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00040\mesh_00040.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00040,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00040\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005092387288298445,0.9163763066202091,0.9493670886075949,0.0008029280718061906,17,17,17
